,año,conglome,vivienda,hogar,codperso,ubigeo_x,desercion_escolar,sexo,edad,area_geografica,lengua_materna,tipo_de_colegio,programa,situacion_laboral,años_educacion_padre,años_educacion_madre,ubigeo_y,ingreso_familiar,tamaño_familiar,internet,tv,celular
166,2021,5131,122,11,4,10512,0,0,9,0,1,1,1,0,2,2,10512,211.86812337239584,4,1,0,1
167,2021,5132,66,11,3,10512,0,1,13,0,1,1,1,0,2,3,10512,468.99766710069446,3,1,0,1
168,2021,5132,68,11,3,10512,0,0,11,0,1,1,1,0,2,2,10512,403.3803304036458,4,0,0,1
169,2021,5132,69,11,2,10512,0,0,18,0,1,1,1,0,3,1,10512,367.8188883463542,2,1,0,1
170,2021,5132,160,11,2,10512,0,1,16,0,1,1,1,1,1,2,10512,274.0995279947917,3,0,0,1
171,2021,5132,160,11,3,10512,0,0,7,0,1,1,1,0,1,2,10512,274.0995279947917,3,0,0,1
172,2021,5132,161,11,3,10512,0,0,10,0,1,1,1,0,3,3,10512,248.65264892578125,4,0,1,1
173,2021,5134,1,11,4,10520,0,0,13,0,1,1,0,0,2,2,10520,211.88585611979167,5,0,0,1
174,2021,5134,1,11,5,10520,0,0,10,0,1,1,0,0,2,2,10520,211.88585611979167,5,0,0,1
175,2021,5134,2,11,3,10520,0,1,12,0,1,1,1,0,2,1,10520,892.9906141493055,3,0,1,1
176,2021,5134,128,11,3,10520,0,0,15,0,1,1,1,1,2,2,10520,791.1122233072916,4,0,1,1
177,2021,5134,128,11,4,10520,0,0,13,0,1,1,1,0,2,2,10520,791.1122233072916,4,0,1,1
178,2021,5134,137,11,4,10520,0,1,16,0,1,1,1,1,2,2,10520,425.330078125,7,1,0,1
179,2021,5134,137,11,5,10520,0,0,9,0,1,1,1,0,2,2,10520,425.330078125,7,1,0,1
180,2021,5135,2,11,4,10510,1,0,13,0,1,1,1,0,2,2,10510,288.0176595052083,4,0,0,0
181,2021,5135,20,11,1,10510,1,0,18,0,1,1,0,1,3,3,10510,202.8390096028646,2,0,0,1
182,2021,5135,48,11,4,10510,1,0,14,0,1,1,1,1,1,1,10510,365.57451714409723,6,0,0,1
183,2021,5135,48,11,5,10510,0,0,8,0,1,1,1,0,1,1,10510,365.57451714409723,6,0,0,1
184,2021,5135,58,11,3,10510,1,0,8,0,1,1,1,0,2,2,10510,268.92320963541664,5,0,0,1
185,2021,5135,58,11,4,10510,0,1,5,0,1,1,0,0,2,2,10510,268.92320963541664,5,0,0,1
186,2021,5135,82,11,4,10510,1,1,13,0,1,1,1,0,2,1,10510,472.47357855902777,6,0,0,1
187,2021,5135,82,11,5,10510,1,1,11,0,1,1,1,0,2,1,10510,472.47357855902777,6,0,0,1
188,2021,5135,82,11,6,10510,1,0,9,0,1,1,1,0,2,1,10510,472.47357855902777,6,0,0,1
189,2021,5135,96,11,4,10510,1,0,15,0,1,1,1,0,1,1,10510,132.23541666666668,5,0,0,1
190,2021,5135,96,11,5,10510,1,1,8,0,1,1,1,0,1,1,10510,132.23541666666668,5,0,0,1
191,2021,5137,9,11,3,10513,0,1,9,0,1,1,1,0,2,2,10513,197.49160427517361,3,0,0,1
192,2021,5137,12,11,3,10513,0,0,14,0,1,1,1,0,2,1,10513,407.2690022786458,4,0,0,1
193,2021,5137,12,11,4,10513,0,1,7,0,1,1,1,0,2,1,10513,407.2690022786458,4,0,0,1
194,2021,5137,54,11,4,10513,0,1,14,0,1,1,1,1,1,1,10513,509.6863199869792,4,0,1,1
195,2021,5137,58,11,3,10513,0,1,16,0,1,1,1,1,2,1,10513,243.188525390625,5,0,0,1
196,2021,5137,58,11,4,10513,0,0,13,0,1,1,0,0,2,1,10513,243.188525390625,5,0,0,1
197,2021,5137,58,11,5,10513,0,1,8,0,1,1,1,0,2,1,10513,243.188525390625,5,0,0,1
198,2021,5137,60,11,3,10513,0,0,14,0,1,1,1,0,2,1,10513,455.93059895833335,5,0,1,1
199,2021,5137,60,11,5,10513,0,0,12,0,1,1,0,0,2,1,10513,455.93059895833335,5,0,1,1
200,2021,5138,25,11,3,10513,1,1,13,0,1,1,1,0,4,1,10513,575.5264756944445,3,0,0,1
201,2021,5138,28,11,5,10513,1,1,13,0,1,1,1,0,2,2,10513,235.84747023809524,7,0,1,1
202,2021,5138,111,11,4,10513,1,0,12,0,1,1,1,0,1,1,10513,675.483984375,5,1,0,1
203,2021,5138,111,11,5,10513,1,0,10,0,1,1,1,0,1,1,10513,675.483984375,5,1,0,1
204,2021,5138,118,11,3,10513,1,0,7,0,1,1,1,0,2,2,10513,1230.1897786458333,4,1,1,1
205,2021,5138,120,11,5,10513,1,1,12,0,1,1,1,0,1,1,10513,272.28392392113096,7,0,0,1
206,2021,5138,120,11,6,10513,1,0,11,0,1,1,1,0,1,1,10513,272.28392392113096,7,0,0,1
207,2021,5138,120,11,7,10513,1,1,8,0,1,1,1,0,1,1,10513,272.28392392113096,7,0,0,1
208,2021,5140,26,11,4,10514,0,1,6,0,1,1,0,0,2,2,10514,551.5173177083333,5,1,1,1
209,2021,5140,27,11,3,10514,0,0,15,0,1,1,1,0,1,1,10514,326.62559678819446,3,0,1,1
210,2021,5140,28,11,3,10514,0,1,13,0,1,1,1,0,2,2,10514,182.06819661458334,6,0,0,1
211,2021,5140,28,11,4,10514,0,0,9,0,1,1,1,0,2,2,10514,182.06819661458334,6,0,0,1
212,2021,5140,28,11,5,10514,0,0,7,0,1,1,1,0,2,2,10514,182.06819661458334,6,0,0,1
213,2021,5140,89,11,3,10514,0,1,12,0,1,1,1,0,2,2,10514,506.6755099826389,3,0,1,1
214,2021,5140,92,11,3,10514,0,0,8,0,1,1,1,0,3,3,10514,192.5871117001488,7,0,1,1
215,2021,5140,92,11,4,10514,0,1,6,0,1,1,0,0,3,3,10514,192.5871117001488,7,0,1,1
216,2021,5140,93,11,2,10514,0,1,9,0,1,1,1,0,2,2,10514,314.7831759982639,3,0,0,1
217,2021,5140,93,11,3,10514,0,1,6,0,1,1,0,0,2,2,10514,314.7831759982639,3,0,0,1
218,2021,5181,39,11,2,21801,0,0,13,1,1,1,1,0,2,1,21801,540.4319661458334,2,0,1,1
219,2021,5181,58,11,3,21801,0,1,10,1,1,1,0,0,3,3,21801,713.4706380208333,5,1,0,1
220,2021,5186,28,11,3,21801,1,1,15,1,1,1,1,1,4,4,21801,823.604296875,5,1,0,1
221,2021,5186,28,11,4,21801,1,0,14,1,1,1,1,0,4,4,21801,823.604296875,5,1,0,1
222,2021,5186,38,11,5,21801,1,0,12,1,1,1,0,0,3,2,21801,679.9397786458334,6,1,1,1
223,2021,5186,38,11,6,21801,1,0,3,1,1,1,0,0,3,2,21801,679.9397786458334,6,1,1,1
224,2021,5186,50,11,3,21801,1,0,15,1,1,1,0,0,2,1,21801,987.3388671875,3,1,1,1
225,2021,5186,73,11,5,21801,1,1,6,1,1,1,1,0,2,2,21801,717.8776041666666,6,1,1,1
226,2021,5187,12,11,3,21801,0,0,16,1,1,1,1,0,4,3,21801,632.64892578125,4,1,0,1
229,2021,5190,1,11,3,21801,0,1,12,1,1,0,0,0,2,2,21801,615.7567138671875,4,1,0,1
230,2021,5190,55,11,3,21801,0,1,14,1,1,0,0,0,4,2,21801,636.7433449074074,9,1,1,1
231,2021,5190,55,11,4,21801,0,0,9,1,1,0,0,0,4,2,21801,636.7433449074074,9,1,1,1
232,2021,5190,55,11,8,21801,0,1,15,1,1,0,0,0,4,2,21801,636.7433449074074,9,1,1,1
233,2021,5190,55,11,9,21801,0,0,9,1,1,0,0,0,4,2,21801,636.7433449074074,9,1,1,1
235,2021,5190,124,33,3,21801,0,0,10,1,1,1,1,0,3,4,21801,703.5243326822916,4,1,0,1
236,2021,5190,124,33,4,21801,0,1,8,1,1,1,1,0,3,4,21801,703.5243326822916,4,1,0,1
237,2021,5192,9,33,3,21801,0,0,10,1,1,1,1,0,4,4,21801,433.3670247395833,3,1,1,1
238,2021,5192,72,11,6,21801,0,1,7,1,1,0,0,0,1,1,21801,498.6806640625,7,1,1,1
240,2021,5193,38,11,4,21801,0,0,8,1,1,0,0,0,2,2,21801,477.0548502604167,4,1,1,1
241,2021,5196,2,11,3,21809,0,0,5,1,1,1,1,0,2,2,21809,783.9678276909722,3,1,0,1
242,2021,5196,33,11,3,21809,0,1,14,1,1,1,1,0,2,2,21809,842.3323102678571,7,1,1,1
